Estación: ,C19017,EL MARRUBIAL.
1971-04-14,5.2,CLIC
1971-04-15,7.9,CLIC
1971-04-16,6,CLIC
1971-04-17,7.2,CLIC
1971-04-18,10.7,CLIC
1971-04-19,8.6,CLIC
1971-04-20,5.7,CLIC
1971-04-21,8.3,CLIC
1971-04-22,6.9,CLIC
1971-04-23,8.2,CLIC
1971-04-24,5.9,CLIC
1971-04-25,7.5,CLIC
1971-04-26,8,CLIC
1971-04-27,8.6,CLIC
1971-04-28,9.4,CLIC
1971-04-29,8.6,CLIC
1971-04-30,9.7,CLIC
1971-05-01,6.7,CLIC
1971-05-02,10.5,CLIC
1971-05-03,4.8,CLIC
1971-05-04,4.4,CLIC
1971-05-05,9.9,CLIC
1971-05-06,9.2,CLIC
1971-05-07,6.3,CLIC
1971-05-08,3.2,CLIC
1971-05-09,6.9,CLIC
1971-05-10,4.3,CLIC
1971-05-11,5.2,CLIC
1971-05-12,3.1,CLIC
1971-05-13,0.3,CLIC
1971-05-14,4.9,CLIC
1971-05-15,7.9,CLIC
1971-05-16,8.3,CLIC
1971-05-17,7.5,CLIC
1971-05-18,8.3,CLIC
1971-05-19,5,CLIC
1971-05-20,5.5,CLIC
1971-05-21,4.8,CLIC
1971-05-22,7.5,CLIC
1971-05-23,9.2,CLIC
1971-05-24,7.9,CLIC
1971-05-25,3.9,CLIC
1971-05-26,4.2,CLIC
1971-05-27,4.5,CLIC
1971-05-28,6.3,CLIC
1971-05-29,4.3,CLIC
1971-05-30,6.3,CLIC
1971-05-31,1.3,CLIC
1971-06-01,5.9,CLIC
1971-06-02,6.6,CLIC
1971-06-03,8.5,CLIC
1971-06-04,5.7,CLIC
1971-06-05,8,CLIC
1971-06-06,7.3,CLIC
1971-06-07,8.1,CLIC
1971-06-08,9.5,CLIC
1971-06-09,9.6,CLIC
1971-06-10,6.8,CLIC
1971-06-11,8.3,CLIC
1971-06-12,6.5,CLIC
1971-06-13,4.2,CLIC
1971-06-14,3.4,CLIC
1971-06-15,3.1,CLIC
1971-06-16,6,CLIC
1971-06-17,6,CLIC
1971-06-18,4.8,CLIC
1971-06-19,6.8,CLIC
1971-06-20,2.6,CLIC
1971-06-21,4.2,CLIC
1971-06-22,1,CLIC
1971-06-23,2.3,CLIC
1971-06-24,4.5,CLIC
1971-06-25,5.4,CLIC
1971-06-26,0.5,CLIC
1971-06-27,4.1,CLIC
1971-06-28,2.2,CLIC
1971-06-29,3.8,CLIC
1971-06-30,4.2,CLIC
1971-07-01,1.8,CLIC
1971-07-02,7.7,CLIC
1971-07-03,7.9,CLIC
1971-07-04,9.8,CLIC
1971-07-05,11,CLIC
1971-07-06,9.1,CLIC
1971-07-07,7.5,CLIC
1971-07-08,6.3,CLIC
1971-07-09,6.4,CLIC
1971-07-10,3,CLIC
1971-07-11,3,CLIC
1971-07-12,4.7,CLIC
1971-07-13,4.9,CLIC
1971-07-14,4.6,CLIC
1971-07-15,6.1,CLIC
1971-07-16,4.1,CLIC
1971-07-17,8,CLIC
1971-07-18,6.3,CLIC
1971-07-19,2.6,CLIC
1971-07-20,3.2,CLIC
1971-07-21,2.1,CLIC
1971-07-22,6.6,CLIC
1971-07-23,4.9,CLIC
1971-07-24,4.2,CLIC
1971-07-25,3.9,CLIC
1971-07-26,3.3,CLIC
1971-07-27,7.8,CLIC
1971-07-28,6.9,CLIC
1971-07-29,6,CLIC
1971-07-30,8.2,CLIC
1971-07-31,2.3,CLIC
1971-08-01,5.3,CLIC
1971-08-02,0.5,CLIC
1971-08-03,1.5,CLIC
1971-08-04,1.1,CLIC
1971-08-05,1.9,CLIC
1971-08-06,2.6,CLIC
1971-08-07,1.8,CLIC
1971-08-08,3.3,CLIC
1971-08-09,3.7,CLIC
1971-08-10,3,CLIC
1971-08-11,1.1,CLIC
1971-08-12,1.6,CLIC
1971-08-13,0.7,CLIC
1971-08-14,4.1,CLIC
1971-08-15,5.8,CLIC
1971-08-16,6,CLIC
1971-08-17,4.7,CLIC
1971-08-18,5.2,CLIC
1971-08-19,5.1,CLIC
1971-08-20,2.6,CLIC
1971-08-21,5.6,CLIC
1971-08-22,2.8,CLIC
1971-08-23,6.7,CLIC
1971-08-24,0.2,CLIC
1971-08-25,3.8,CLIC
1971-08-26,5.3,CLIC
1971-08-27,7.9,CLIC
1971-08-28,2.8,CLIC
1971-08-29,5,CLIC
1971-08-30,4.6,CLIC
1971-08-31,3.3,CLIC
1971-09-01,4.1,CLIC
1971-09-02,5,CLIC
1971-09-03,5.2,CLIC
1971-09-04,3.7,CLIC
1971-09-05,6.9,CLIC
1971-09-06,5.1,CLIC
1971-09-07,5.5,CLIC
1971-09-08,2.8,CLIC
1971-09-09,3.3,CLIC
1971-09-10,5.8,CLIC
1971-09-11,3.1,CLIC
1971-09-12,4.3,CLIC
1971-09-13,3.1,CLIC
1971-09-14,2,CLIC
1971-09-15,4.3,CLIC
1971-09-16,3.5,CLIC
1971-09-17,4.3,CLIC
1971-09-18,1.2,CLIC
1971-09-19,2.7,CLIC
1971-09-20,4.4,CLIC
1971-09-21,2.7,CLIC
1971-09-22,2.5,CLIC
1971-09-23,4.5,CLIC
1971-09-24,3.3,CLIC
1971-09-25,2.8,CLIC
1971-09-26,2.6,CLIC
1971-09-27,2.7,CLIC
1971-09-28,2.8,CLIC
1971-09-29,3.6,CLIC
1971-09-30,3.8,CLIC
1971-10-01,3.9,CLIC
1971-10-02,3.5,CLIC
1971-10-03,3.5,CLIC
1971-10-04,1.1,CLIC
1971-10-05,1.1,CLIC
1971-10-06,2,CLIC
1971-10-07,4.4,CLIC
1971-10-08,1.2,CLIC
1971-10-09,3.6,CLIC
1971-10-10,3.6,CLIC
1971-10-11,1.5,CLIC
1971-10-12,2,CLIC
1971-10-13,3.5,CLIC
1971-10-14,1.1,CLIC
1971-10-15,1.4,CLIC
1971-10-16,1.9,CLIC
1971-10-17,3.6,CLIC
1971-10-18,2.8,CLIC
1971-10-19,3.2,CLIC
1971-10-20,1,CLIC
1971-10-21,3.4,CLIC
1971-10-22,1.3,CLIC
1971-10-23,3,CLIC
1971-10-24,3.2,CLIC
1971-10-25,2,CLIC
1971-10-26,2,CLIC
1971-10-27,1.9,CLIC
1971-10-28,2,CLIC
1971-10-29,4.3,CLIC
1971-10-30,2.3,CLIC
1971-10-31,2.7,CLIC
1971-11-01,1.4,CLIC
1971-11-02,1.7,CLIC
1971-11-03,2.3,CLIC
1971-11-04,2.8,CLIC
1971-11-05,1.6,CLIC
1971-11-06,1.8,CLIC
1971-11-07,1.5,CLIC
1971-11-08,1.8,CLIC
1971-11-09,3.3,CLIC
1971-11-10,1.3,CLIC
1971-11-11,2.2,CLIC
1971-11-12,1.2,CLIC
1971-11-13,2.7,CLIC
1971-11-14,1.3,CLIC
1971-11-15,2,CLIC
1971-11-16,2.2,CLIC
1971-11-17,2.8,CLIC
1971-11-18,2.7,CLIC
1971-11-19,2.8,CLIC
1971-11-20,1.8,CLIC
1971-11-21,1.2,CLIC
1971-11-22,1.8,CLIC
1971-11-23,1.2,CLIC
1971-11-24,1.1,CLIC
1971-11-25,2.1,CLIC
1971-11-26,1.5,CLIC
1971-11-27,1.8,CLIC
1971-11-28,2,CLIC
1971-11-29,2.4,CLIC
1971-11-30,1.5,CLIC
1971-12-01,1.8,CLIC
1971-12-02,1.5,CLIC
1971-12-03,1.8,CLIC
1971-12-04,1.9,CLIC
1971-12-05,0.7,CLIC
1971-12-06,2.2,CLIC
1971-12-07,1.7,CLIC
1971-12-08,1.1,CLIC
1971-12-09,0.9,CLIC
1971-12-10,1.4,CLIC
1971-12-11,1.6,CLIC
1971-12-12,1.4,CLIC
1971-12-13,1.3,CLIC
1971-12-14,1.7,CLIC
1971-12-15,3.3,CLIC
1971-12-16,1.5,CLIC
1971-12-17,1.4,CLIC
1971-12-18,3.2,CLIC
1971-12-19,1.7,CLIC
1971-12-20,1.7,CLIC
1971-12-21,1.5,CLIC
1971-12-22,1.3,CLIC
1971-12-23,1.7,CLIC
1971-12-24,1,CLIC
1971-12-25,1.6,CLIC
1971-12-26,2.1,CLIC
1971-12-27,2.8,CLIC
1971-12-28,1.4,CLIC
1971-12-29,1.3,CLIC
1971-12-30,1.7,CLIC
1971-12-31,1.6,CLIC
1972-01-01,2.6,CLIC
1972-01-02,1.8,CLIC
1972-01-03,2.5,CLIC
1972-01-04,0.7,CLIC
1972-01-05,1.6,CLIC
1972-01-06,0.8,CLIC
1972-01-07,1.8,CLIC
1972-01-08,1.9,CLIC
1972-01-09,1.7,CLIC
1972-01-10,1.9,CLIC
1972-01-11,2.4,CLIC
1972-01-12,3.2,CLIC
1972-01-13,3.9,CLIC
1972-01-14,0.4,CLIC
1972-01-15,2.5,CLIC
1972-01-16,2.9,CLIC
1972-01-17,1.2,CLIC
1972-01-18,1.2,CLIC
1972-01-19,1.6,CLIC
1972-01-20,2,CLIC
1972-01-21,2.1,CLIC
1972-01-22,3.1,CLIC
1972-01-23,2.2,CLIC
1972-01-24,2.1,CLIC
1972-01-25,2.5,CLIC
1972-01-26,3.7,CLIC
1972-01-27,2.2,CLIC
1972-01-28,3.9,CLIC
1972-01-29,1.9,CLIC
1972-01-30,0.7,CLIC
1972-01-31,1.9,CLIC
1972-02-01,2,CLIC
1972-02-02,2.5,CLIC
1972-02-03,1.6,CLIC
1972-02-04,2,CLIC
1972-02-05,4.3,CLIC
1972-02-06,4.1,CLIC
1972-02-07,1.3,CLIC
1972-02-08,0.5,CLIC
1972-02-09,3.1,CLIC
1972-02-10,3.3,CLIC
1972-02-11,2,CLIC
1972-02-12,3.5,CLIC
1972-02-13,1.1,CLIC
1972-02-14,1.9,CLIC
1972-02-15,4.3,CLIC
1972-02-16,1.8,CLIC
1972-02-17,5.1,CLIC
1972-02-18,3.8,CLIC
1972-02-19,2.2,CLIC
1972-02-20,4.6,CLIC
1972-02-21,4.1,CLIC
1972-02-22,6.8,CLIC
1972-02-23,4.5,CLIC
1972-02-24,5.9,CLIC
1972-02-25,5.9,CLIC
1972-02-26,3.9,CLIC
1972-02-27,2.1,CLIC
1972-02-28,1.2,CLIC
1972-02-29,5,CLIC
1972-03-01,4.7,CLIC
1972-03-02,3,CLIC
1972-03-03,5.4,CLIC
1972-03-04,6.8,CLIC
1972-03-05,4.6,CLIC
1972-03-06,2.8,CLIC
1972-03-07,3.7,CLIC
1972-03-08,4,CLIC
1972-03-09,2.5,CLIC
1972-03-10,2.8,CLIC
1972-03-11,1.7,CLIC
1972-03-12,2.8,CLIC
1972-03-13,2.4,CLIC
1972-03-14,2.3,CLIC
1972-03-15,5.5,CLIC
1972-03-16,1.6,CLIC
1972-03-17,3.3,CLIC
1972-03-18,5.1,CLIC
1972-03-19,4,CLIC
1972-03-20,2.6,CLIC
1972-03-21,8,CLIC
1972-03-22,3.3,CLIC
1972-03-23,4.1,CLIC
1972-03-24,3,CLIC
1972-03-25,4.9,CLIC
1972-03-26,4.3,CLIC
1972-03-27,5.7,CLIC
1972-03-28,6,CLIC
1972-03-29,4.8,CLIC
1972-03-30,5.2,CLIC
1972-03-31,3,CLIC
1972-04-01,4,CLIC
1972-04-02,7.1,CLIC
1972-04-03,5.6,CLIC
1972-04-04,2.6,CLIC
1972-04-05,7.5,CLIC
1972-04-06,6.4,CLIC
1972-04-07,6.3,CLIC
1972-04-08,4.5,CLIC
1972-04-09,2.8,CLIC
1972-04-10,6.1,CLIC
1972-04-11,5.2,CLIC
1972-04-12,8.6,CLIC
1972-04-13,5.8,CLIC
1972-04-14,8.3,CLIC
1972-04-15,6.3,CLIC
1972-04-16,7.2,CLIC
1972-04-17,3.3,CLIC
1972-04-18,5.9,CLIC
1972-04-19,8,CLIC
1972-04-20,7.1,CLIC
1972-04-21,9.6,CLIC
1972-04-22,5,CLIC
1972-04-23,7,CLIC
1972-04-24,4.5,CLIC
1972-04-25,1.6,CLIC
1972-04-26,5.5,CLIC
1972-04-27,5.7,CLIC
1972-04-28,7,CLIC
1972-04-29,5.4,CLIC
1972-04-30,4,CLIC
1972-06-01,3.4,CLIC
1972-06-02,4.3,CLIC
1972-06-03,4,CLIC
1972-06-04,4.8,CLIC
1972-06-05,5.3,CLIC
1972-06-06,2.2,CLIC
1972-06-07,3.6,CLIC
1972-06-08,0.7,CLIC
1972-06-09,5.4,CLIC
1972-06-10,1.6,CLIC
1972-06-11,3.5,CLIC
1972-06-12,5.4,CLIC
1972-06-13,1.4,CLIC
1972-06-14,6.1,CLIC
1972-06-15,5,CLIC
1972-06-16,2.2,CLIC
1972-06-17,5,CLIC
1972-06-18,4.2,CLIC
1972-06-19,7.1,CLIC
1972-06-20,9.2,CLIC
1972-06-21,6.6,CLIC
1972-06-22,7.3,CLIC
1972-06-23,7.7,CLIC
1972-06-24,7,CLIC
1972-06-25,7.7,CLIC
1972-06-26,6.3,CLIC
1972-06-27,6.3,CLIC
1972-06-28,7.4,CLIC
1972-06-29,8.3,CLIC
1972-06-30,7.7,CLIC
1972-07-01,5.7,CLIC
1972-07-02,6.1,CLIC
1972-07-03,6.5,CLIC
1972-07-04,7.6,CLIC
1972-07-05,5.7,CLIC
1972-07-06,4.5,CLIC
1972-07-07,8.1,CLIC
1972-07-08,4.4,CLIC
1972-07-09,7.4,CLIC
1972-07-10,5.4,CLIC
1972-07-11,6.8,CLIC
1972-07-12,6.7,CLIC
1972-07-13,5.9,CLIC
1972-07-14,4.9,CLIC
1972-07-15,3,CLIC
1972-07-16,2.1,CLIC
1972-07-17,2.8,CLIC
1972-07-18,2.8,CLIC
1972-07-19,6.7,CLIC
1972-07-20,4.7,CLIC
1972-07-21,3.9,CLIC
1972-07-22,3.4,CLIC
1972-07-23,3.9,CLIC
1972-07-24,4.8,CLIC
1972-07-25,4.3,CLIC
1972-07-26,6.1,CLIC
1972-07-27,5.8,CLIC
1972-07-28,4.1,CLIC
1972-07-29,6.5,CLIC
1972-07-30,7.2,CLIC
1972-07-31,9.4,CLIC
1972-08-01,7,CLIC
1972-08-02,4,CLIC
1972-08-03,4.2,CLIC
1972-08-04,3.7,CLIC
1972-08-05,3.8,CLIC
1972-08-06,4,CLIC
1972-08-07,5.3,CLIC
1972-08-08,6.4,CLIC
1972-08-09,2.1,CLIC
1972-08-10,3.1,CLIC
1972-08-11,4.5,CLIC
1972-08-12,4,CLIC
1972-08-13,6.3,CLIC
1972-08-14,6.8,CLIC
1972-08-15,6.2,CLIC
1972-08-16,4.9,CLIC
1972-08-17,4.3,CLIC
1972-08-18,5.4,CLIC
1972-08-19,6.8,CLIC
1972-08-20,4.5,CLIC
1972-08-21,5.3,CLIC
1972-08-22,6.6,CLIC
1972-08-23,6.5,CLIC
1972-08-24,8.5,CLIC
1972-08-25,5.9,CLIC
1972-08-26,7.6,CLIC
1972-08-27,7,CLIC
1972-08-28,3.9,CLIC
1972-08-29,6.1,CLIC
1972-08-30,5.1,CLIC
1972-08-31,6.2,CLIC
1972-09-01,5.2,CLIC
1972-09-02,5.8,CLIC
1972-09-03,6.6,CLIC
1972-09-04,5.4,CLIC
1972-09-05,6,CLIC
1972-09-06,7.9,CLIC
1972-09-07,7.9,CLIC
1972-09-08,6.6,CLIC
1972-09-09,3.2,CLIC
1972-09-10,2.6,CLIC
1972-09-11,7.6,CLIC
1972-09-12,1,CLIC
1972-09-13,4.7,CLIC
1972-09-14,1.8,CLIC
1972-09-15,3.8,CLIC
1972-09-16,3,CLIC
1972-09-17,5.1,CLIC
1972-09-18,4.7,CLIC
1972-09-19,5.9,CLIC
1972-09-20,6.9,CLIC
1972-09-21,4.7,CLIC
1972-09-22,4.1,CLIC
1972-09-23,8.2,CLIC
1972-09-24,5.1,CLIC
1972-09-25,3.5,CLIC
1972-09-26,5.2,CLIC
1972-09-27,3.8,CLIC
1972-09-28,6.9,CLIC
1972-09-29,6.7,CLIC
1972-09-30,5.4,CLIC
1972-10-01,4,CLIC
1972-10-02,4.4,CLIC
1972-10-03,2.7,CLIC
1972-10-04,4.6,CLIC
1972-10-05,3.3,CLIC
1972-10-06,3.3,CLIC
1972-10-07,3.3,CLIC
1972-10-08,2.1,CLIC
1972-10-09,5.2,CLIC
1972-10-10,2.7,CLIC
1972-10-11,5.1,CLIC
1972-10-12,1.9,CLIC
1972-10-13,3.6,CLIC
1972-10-14,4.9,CLIC
1972-10-15,3.6,CLIC
1972-10-16,3.6,CLIC
1972-10-17,4,CLIC
1972-10-18,7.2,CLIC
1972-10-19,4.2,CLIC
1972-10-20,3,CLIC
1972-10-21,2.9,CLIC
1972-10-22,5.4,CLIC
1972-10-23,4.7,CLIC
1972-10-24,2.7,CLIC
1972-10-25,2.6,CLIC
1972-10-26,3.4,CLIC
1972-10-27,3.3,CLIC
1972-10-28,3.8,CLIC
1972-10-29,2.3,CLIC
1972-10-30,3.2,CLIC
1972-10-31,3,CLIC
1972-11-01,3.8,CLIC
1972-11-02,3.7,CLIC
1972-11-03,0.6,CLIC
1972-11-04,3.2,CLIC
1972-11-05,1.8,CLIC
1972-11-06,2.3,CLIC
1972-11-07,0.1,CLIC
1972-11-08,6.2,CLIC
1972-11-09,2.5,CLIC
1972-11-10,2.1,CLIC
1972-11-11,3.3,CLIC
1972-11-12,3,CLIC
1972-11-13,2.6,CLIC
1972-11-14,3.1,CLIC
1972-11-15,1.2,CLIC
1972-11-16,2.3,CLIC
1972-11-17,4.4,CLIC
1972-11-18,0.7,CLIC
1972-11-19,2.4,CLIC
1972-11-20,3.9,CLIC
1972-11-21,1.1,CLIC
1972-11-22,1,CLIC
1972-11-23,0.9,CLIC
1972-11-24,2.1,CLIC
1972-11-25,0.7,CLIC
1972-11-26,0.5,CLIC
1972-11-27,2.5,CLIC
1972-11-28,1.7,CLIC
1972-11-29,0.9,CLIC
1972-11-30,1,CLIC
1973-01-01,1.4,CLIC
1973-01-02,1.3,CLIC
1973-01-03,0.8,CLIC
1973-01-04,2.5,CLIC
1973-01-05,1.4,CLIC
1973-01-06,0.9,CLIC
1973-01-07,1.5,CLIC
1973-01-08,1.5,CLIC
1973-01-09,1.1,CLIC
1973-01-10,0.8,CLIC
1973-01-11,0.7,CLIC
1973-01-12,1.1,CLIC
1973-01-13,1.6,CLIC
1973-01-14,1.5,CLIC
1973-01-15,2.8,CLIC
1973-01-16,2.7,CLIC
1973-01-17,3.1,CLIC
1973-01-18,3.1,CLIC
1973-01-19,1.7,CLIC
1973-01-20,2.3,CLIC
1973-01-21,6.8,CLIC
1973-01-22,5.4,CLIC
1973-01-23,1.9,CLIC
1973-01-24,0.8,CLIC
1973-01-25,4.3,CLIC
1973-01-26,1.8,CLIC
1973-01-27,4.9,CLIC
1973-01-28,2.9,CLIC
1973-01-29,2.7,CLIC
1973-01-30,1.3,CLIC
1973-01-31,3.8,CLIC
1973-02-01,4.5,CLIC
1973-02-02,3,CLIC
1973-02-03,2.7,CLIC
1973-02-04,5.8,CLIC
1973-02-05,3.9,CLIC
1973-02-06,3.3,CLIC
1973-02-07,4.2,CLIC
1973-02-08,1.7,CLIC
1973-02-09,1.1,CLIC
1973-02-10,0.2,CLIC
1973-02-11,5.4,CLIC
1973-02-12,3,CLIC
1973-02-13,3.5,CLIC
1973-02-14,3.8,CLIC
1973-02-15,2.4,CLIC
1973-02-16,1.2,CLIC
1973-02-17,1.5,CLIC
1973-02-18,2.6,CLIC
1973-02-19,0.9,CLIC
1973-02-20,1,CLIC
1973-02-21,0.5,CLIC
1973-02-22,1,CLIC
1973-02-23,0.6,CLIC
1973-02-24,4.1,CLIC
1973-02-25,3.8,CLIC
1973-02-26,1.9,CLIC
1973-02-27,2.7,CLIC
1973-02-28,3,CLIC
1973-03-01,5.3,CLIC
1973-03-02,4.9,CLIC
1973-03-03,6.6,CLIC
1973-03-04,3.7,CLIC
1973-03-05,4.3,CLIC
1973-03-06,5.8,CLIC
1973-03-07,5.4,CLIC
1973-03-08,4.4,CLIC
1973-03-09,4.9,CLIC
1973-03-10,4.4,CLIC
1973-03-11,7.1,CLIC
1973-03-12,8.5,CLIC
1973-03-13,10.3,CLIC
1973-03-14,7.2,CLIC
1973-03-15,6.6,CLIC
1973-03-16,5.3,CLIC
1973-03-17,6.3,CLIC
1973-03-18,7,CLIC
1973-03-19,4.2,CLIC
1973-03-20,2.6,CLIC
1973-03-21,4.2,CLIC
1973-03-22,6.4,CLIC
1973-03-23,8.1,CLIC
1973-03-24,8.8,CLIC
1973-03-25,5.4,CLIC
1973-03-26,6.2,CLIC
1973-03-27,3.7,CLIC
1973-03-28,7.9,CLIC
1973-03-29,5.4,CLIC
1973-03-30,4.6,CLIC
1973-03-31,6.7,CLIC
1973-04-01,7.7,CLIC
1973-04-02,7.9,CLIC
1973-04-03,5.9,CLIC
1973-04-04,5.9,CLIC
1973-04-05,2,CLIC
1973-04-06,4.9,CLIC
1973-04-07,7.9,CLIC
1973-04-08,5.7,CLIC
1973-04-09,3,CLIC
1973-04-10,5,CLIC
1973-04-11,4.9,CLIC
1973-04-12,5.1,CLIC
1973-04-13,6.7,CLIC
1973-04-14,6,CLIC
1973-04-15,5.8,CLIC
1973-04-16,4,CLIC
1973-04-17,8.3,CLIC
1973-04-18,5.2,CLIC
1973-04-19,9.6,CLIC
1973-04-20,6.9,CLIC
1973-04-21,7.6,CLIC
1973-04-22,8,CLIC
1973-04-23,7.1,CLIC
1973-04-24,7,CLIC
