DATE,MAXT (0.1 C),MINT (0.1 C),AVGT (0.1 C),MINU (%),MAXU (%),MAXP (0.1 hPa),MINP (0.1 hPa),AVGP (0.1 hPa),AVGWS (0.1 m/s)
20150504,314,262,281,60,87,10046,10001,10026,33
20150505,308,255,270,61,88,10039,9988,10014,19
20150506,304,242,272,65,87,10023,9983,10008,21
20150507,312,256,278,63,88,10039,10005,10020,17
20150508,313,262,280,60,85,10035,9989,10013,15
20150509,313,232,279,67,93,10018,9995,10007,23
20150510,305,238,262,61,89,10041,10005,10021,17
20150511,303,224,261,65,93,10039,10002,10026,18
20150512,308,217,256,40,93,10070,10032,10050,29
20150513,292,245,266,53,81,10061,10029,10047,19
20150514,315,252,279,55,87,10064,10029,10047,13
20150515,326,262,287,57,84,10062,10014,10041,22
20150516,282,232,253,71,92,10046,10002,10032,17
20150517,309,240,254,65,91,10030,9993,10008,13
20150518,301,253,277,67,90,10019,9989,10003,25
20150519,293,257,275,77,93,10012,9977,9995,16
20150520,302,245,271,75,92,9999,9975,9990,32
20150521,272,236,250,69,93,10020,9984,10005,27
20150522,252,225,233,77,91,10026,9988,10014,24
20150523,255,236,245,88,94,10009,9975,9987,15
20150524,293,240,265,74,94,9998,9972,9984,10
20150525,326,256,283,59,93,10003,9972,9991,18
20150526,292,253,270,79,92,10022,9996,10005,14
20150527,313,272,291,71,90,10017,9975,9997,21
20150528,324,277,296,64,88,9996,9961,9979,37
20150529,322,280,300,64,86,10004,9972,9989,40
20150530,323,251,290,63,91,10016,9976,10003,30
20150531,316,254,279,70,92,10024,9985,9999,13
20150601,317,263,284,66,90,10014,9991,10005,14
20150602,320,271,293,60,88,10032,10004,10018,22
20150603,323,272,296,59,86,10047,10007,10027,32
20150604,319,272,293,59,87,10037,9997,10017,29
20150605,304,257,275,67,91,10016,9986,10003,37
20150606,323,252,285,62,92,10014,9989,10002,23
20150607,323,272,297,53,85,10030,10001,10014,24
20150608,324,273,298,61,85,10023,9990,10008,22
20150609,323,275,299,64,82,10016,9977,9999,32
20150610,325,275,295,64,85,10013,9977,9999,27
20150611,328,282,300,63,87,10020,9990,10007,34
20150612,321,260,294,66,90,10029,9994,10011,23
20150613,327,279,300,57,86,10019,9986,10006,22
20150614,313,269,294,62,88,10023,9997,10009,15
20150615,337,276,302,50,84,10036,10001,10021,13
20150616,333,276,302,49,83,10030,9987,10009,26
20150617,327,281,300,57,82,10003,9965,9986,40
20150618,337,278,304,55,85,9991,9963,9979,26
20150619,344,281,304,41,84,9998,9973,9988,25
20150620,354,284,301,47,81,10005,9978,9992,16
20150621,336,270,301,59,89,10000,9959,9980,22
20150622,302,263,279,71,92,9984,9944,9959,19
20150623,302,258,282,69,92,9980,9951,9964,21
20150624,316,251,282,68,92,9997,9964,9978,15
20150625,298,260,278,77,92,9999,9973,9985,8
20150626,320,271,293,63,89,9994,9973,9985,21
