Estación: ,MRGTP,P.Marte R. Gomez
2022-05-08,7.58,
2022-05-09,7.97,
2022-05-10,6.98,
2022-05-11,6.4,
2022-05-12,6.33,
2022-05-13,5.9,
2022-05-14,6.7,
2022-05-15,6.51,
2022-05-16,7.33,
2022-05-17,7.66,
2022-05-18,7.9,
2022-05-19,8.2,
2022-05-20,8.48,
2022-05-21,8.55,
2022-05-22,7.42,
2022-05-23,6.8,
2022-05-24,4.86,
2022-05-25,5.4,
2022-05-26,6.1,
2022-05-27,6.7,
2022-05-28,6.85,
2022-05-29,7.33,
2022-05-30,8.23,
2022-05-31,8.67,
2022-06-01,8.88,
2022-06-02,9.8,
2022-06-03,9.14,
2022-06-04,7.89,
2022-06-05,9.38,
2022-06-06,8.36,
2022-06-07,9.92,
2022-06-08,9.35,
2022-06-09,8.51,
2022-06-10,9.23,
2022-06-11,10.1,
2022-06-12,9.42,
2022-06-13,10.08,
2022-06-14,9.22,
2022-06-15,8.32,
2022-06-16,8.12,
2022-06-17,8.74,
2022-06-18,9.4,
2022-06-19,8.9,
2022-06-20,8.13,
2022-06-21,8.57,
2022-06-22,7.84,
2022-06-23,7.33,
2022-06-24,8.55,
2022-06-25,9.32,
2022-06-26,8.99,
2022-06-27,9.4,
2022-06-28,9.12,
2022-06-29,8.77,
2022-06-30,8.91,
2022-07-01,7.59,
2022-07-02,8.33,
2022-07-03,7.84,
2022-07-04,8.12,
2022-07-05,9.45,
2022-07-06,9.88,
2022-07-07,10.1,
2022-07-08,9.74,
2022-07-09,10.22,
2022-07-10,10.9,
2022-07-11,8.9,
2022-07-12,10.12,
2022-07-13,9.12,
2022-07-14,8.92,
2022-07-15,9,
2022-07-16,8.98,
2022-07-17,8.12,
2022-07-18,8.47,
2022-07-19,10.88,
2022-07-20,11.02,
2022-07-21,10.12,
2022-07-22,9.42,
2022-07-23,10.15,
2022-07-24,9.87,
2022-07-25,10.33,
2022-07-26,9.9,
2022-07-27,9.12,
2022-07-28,8.99,
2022-07-29,9.33,
2022-07-30,9.41,
2022-07-31,8.99,
2022-08-01,8.5,
2022-08-02,9.5,
2022-08-03,10.2,
2022-08-04,9.9,
2022-08-05,10.33,
2022-08-06,9.21,
2022-08-07,10.33,
2022-08-08,8.99,
2022-08-09,8.57,
2022-08-10,9.1,
2022-08-11,9.88,
2022-08-12,9.35,
2022-08-13,8.12,
2022-08-14,10.6,
2022-08-15,4.82,
2022-08-16,6.4,
2022-08-17,8.16,
2022-08-18,8.33,
2022-08-19,8.42,
2022-08-20,9.1,
2022-08-21,9.8,
2022-08-22,10.1,
2022-08-23,8.3,
2022-08-24,8.9,
2022-08-25,9.1,
2022-08-26,7.99,
2022-08-27,7.33,
2022-08-28,7.8,
2022-08-29,7.8,
2022-08-30,7.8,
2022-08-31,7.8,
2022-09-01,9.12,
2022-09-02,8.19,
2022-09-03,6.33,
2022-09-04,5.1,
2022-09-05,4.92,
2022-09-06,2.27,
2022-09-07,3.9,
2022-09-08,5.1,
2022-09-09,5.99,
2022-09-10,5.28,
2022-09-11,5.8,
2022-09-12,6.1,
2022-09-13,5.77,
2022-09-14,5.13,
2022-09-15,4.9,
2022-09-16,4.75,
2022-09-17,4.1,
2022-09-18,5.13,
2022-09-19,5.72,
2022-09-20,4.75,
2022-09-21,4.22,
2022-09-22,3.9,
2022-09-23,4.32,
2022-09-24,5.57,
2022-09-25,6.33,
2022-09-26,3.8,
2022-09-27,2.48,
2022-09-28,3.33,
2022-09-29,5.1,
2022-09-30,4.95,
2022-10-01,5.02,
2022-10-02,5.42,
2022-10-03,4.9,
2022-10-04,4.32,
2022-10-05,3.12,
2022-10-06,4.74,
2022-10-07,3.2,
2022-10-08,6.8,
2022-10-09,3.98,
2022-10-10,4.68,
2022-10-11,4.15,
2022-10-12,4.85,
2022-10-13,4.66,
2022-10-14,5.37,
2022-10-15,5.69,
2022-10-16,5.82,
2022-10-17,5.18,
2022-10-18,1.82,
2022-10-19,4.33,
2022-10-20,5.1,
2022-10-21,4.54,
2022-10-22,3.1,
2022-10-23,3.73,
2022-10-24,4.98,
2022-10-25,5.22,
2022-10-26,5.72,
2022-10-27,4.22,
2022-10-28,5.38,
2022-10-29,3.23,
2022-10-30,4.1,
2022-10-31,3.82,
2022-11-01,2.68,
2022-11-02,2.05,
2022-11-03,4.82,
2022-11-04,5.22,
2022-11-05,4.88,
2022-11-06,5.88,
2022-11-07,4.92,
2022-11-08,3.24,
2022-11-09,4.99,
2022-11-10,5.35,
2022-11-11,3.53,
2022-11-12,6.71,
2022-11-13,3.82,
2022-11-14,3.48,
2022-11-15,3.61,
2022-11-16,3.15,
2022-11-17,2.4,
2022-11-18,1.9,
2022-11-19,1.82,
2022-11-20,2.33,
2022-11-21,1.1,
2022-11-22,1.72,
2022-11-23,2.02,
2022-11-24,2.15,
2022-11-25,1.12,
2022-11-26,1.99,
2022-11-27,2.3,
2022-11-28,2.55,
2022-11-29,3.24,
2022-11-30,2.99,
2022-12-01,1.82,
2022-12-02,2.05,
2022-12-03,1.9,
2022-12-04,2.82,
2022-12-05,2.48,
2022-12-06,3.1,
2022-12-07,3.22,
2022-12-08,3.58,
2022-12-09,2.9,
2022-12-10,3.4,
2022-12-11,3.1,
2022-12-12,2.33,
2022-12-13,2.2,
2022-12-14,4.2,
2022-12-15,4.13,
2022-12-16,2.8,
2022-12-17,1.88,
2022-12-18,1.1,
2022-12-19,0.99,
2022-12-20,1.33,
2022-12-21,1.52,
2022-12-22,1.63,
2022-12-23,2.33,
2022-12-24,1.9,
2022-12-25,3.1,
2022-12-26,2.85,
2022-12-27,5.9,
2022-12-28,6.42,
2022-12-29,5.72,
2022-12-30,3.82,
2022-12-31,2.9,
2023-01-01,2.37,
2023-01-02,3.44,
2023-01-03,3.1,
2023-01-04,4.25,
2023-01-05,3.88,
2023-01-06,3.28,
2023-01-07,4.33,
2023-01-08,3.15,
2023-01-09,2.9,
2023-01-10,3.21,
2023-01-11,2.9,
2023-01-12,6.82,
2023-01-13,4.84,
2023-01-14,3.7,
2023-01-15,2.65,
2023-01-16,4.33,
2023-01-17,4.3,
2023-01-18,4.25,
2023-01-19,3.8,
2023-01-20,2.94,
2023-01-21,2.25,
2023-01-22,2.99,
2023-01-23,3.68,
2023-01-24,4.1,
2023-01-25,3.82,
2023-01-26,4.92,
2023-01-27,2.89,
2023-01-28,3.25,
2023-01-29,4.32,
2023-01-30,3.98,
2023-01-31,1.1,
2023-02-01,0.9,
2023-02-02,1.33,
2023-02-03,3.48,
2023-02-04,2.9,
2023-02-05,2.41,
2023-02-06,4.1,
2023-02-07,4.8,
2023-02-08,3.22,
2023-02-09,5.1,
2023-02-10,5.98,
2023-02-11,4.82,
2023-02-12,4.38,
2023-02-13,4.25,
2023-02-14,5.05,
2023-02-15,4.87,
2023-02-16,5.33,
2023-02-17,4.82,
2023-02-18,3.8,
2023-02-19,4.88,
2023-02-20,3.9,
2023-02-21,4.12,
2023-02-22,5.42,
2023-02-23,6.52,
2023-02-24,6.54,
2023-02-25,6.1,
2023-02-26,4.32,
2023-02-27,6.33,
2023-02-28,5.9,
2023-03-01,4.85,
2023-03-02,7.68,
2023-03-03,-,-
